City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pishin,30.5803,66.9961,26.95,50,90,1.63,PK,1721509825
1,tiksi,71.6872,128.8694,6.78,63,96,1.56,RU,1721509825
2,papatowai,-46.5619,169.4708,7.5,95,43,2.52,NZ,1721509826
3,waitangi,-43.9535,-176.5597,10.46,98,100,5.81,NZ,1721509826
4,ribeira grande,38.5167,-28.7,24.32,88,40,4.12,PT,1721509826
5,margaret river,-33.95,115.0667,16.05,67,100,9.14,AU,1721509826
6,touros,-5.1989,-35.4608,24.45,80,4,5.84,BR,1721509826
7,magadan,59.5667,150.8,13.07,76,100,1.45,RU,1721509827
8,aasiaat,68.7098,-52.8699,6.61,83,66,3.07,GL,1721509827
9,puerto ayora,-0.7393,-90.3518,25.98,92,78,3.58,EC,1721509827
10,mount pearl,47.5166,-52.7813,19.48,67,1,2.02,CA,1721509827
11,mpanda,-6.3655,31.0409,20.69,45,3,0.52,TZ,1721509750
12,anadyr,64.75,177.4833,10.28,81,40,10.0,RU,1721509828
13,napier,-39.4833,176.9167,10.16,75,56,5.8,NZ,1721509670
14,hinton,53.4001,-117.5857,31.96,24,1,2.15,CA,1721509828
15,lata,40.1629,-8.3327,20.6,94,39,1.7,PT,1721509828
16,crane,31.3974,-102.3501,36.08,23,17,4.69,US,1721509828
